Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),4LHE Temp (ºF),App message,90% settling time (s),Max acceleration (RPM/s),
0,1050,,0.008760001598830523,0.0950214380882211,22.227561531844735,0.23363959585716815,116.7625269588,5.193238493190541,1.3862854525522659,26.69404562047335,0.06854391922910162,0.01829714506907679,73.625,,1.2504499999999534,1037,
7.001858330325689,1080,,0.01617599393304597,0.20059601455065457,22.199859136841916,0.41978138801788273,164.09585627304,9.319087682264975,3.5979404140382987,38.60829017507248,0.05575301185310828,0.0215252845975906,73.5125,,1.0991649999998045,433,
10.11671833032556,1110,,0.02559272585136925,0.3273199725441594,22.161947689700657,0.6862676209388819,204.41296199424,15.20902711638282,7.094742387238243,46.64823287477703,0.04613556837989358,0.02152142737595475,73.5125,,0.9504549999998417,426,
12.917453330325662,1140,,0.03529358777711285,0.4559901228360815,22.120564780141518,0.9793363356940447,237.81856387751998,21.663472855266534,11.381402787448184,52.53729567501588,0.04006449216778125,0.021048800710880815,73.5125,,0.8009699999999721,403,
15.553978330325801,1170,,0.04482762784844338,0.5836987521577945,22.073606319404504,1.3065398054468738,267.45425457647997,28.840045306065644,16.255822791943462,56.365455114332065,0.035907056789957204,0.02023917597782105,73.4,,0.664125,379,
18.042398330325728,1200,,0.05449178722772648,0.7235984024217209,22.023086661084967,1.6571743897676494,293.73891311159997,36.49609519838354,21.697866895648023,59.45257096054771,0.03334882667967948,0.01982673484624651,73.2875,,0.5569550000000745,384,
20.348473330325678,1230,,0.06530024006819789,0.8728443969322139,21.96750746735006,2.0523390929828262,317.19613825848,45.08477435063469,28.082473821812226,62.288154318813596,0.031081463921966094,0.019360070212260612,73.175,,0.44913500000024215,330,
22.77919333032565,1260,,0.07615907119630821,1.0147164326592562,21.906541477679077,2.487306596925238,343.37607703848,54.488285133247516,35.46043119656584,65.0790002105034,0.028615456677174477,0.018622653111174888,73.0625,,0.6288050000001677,353,
24.949148330325727,1290,,0.08560822938052179,1.1652481578793168,21.84058459129066,2.9475921507967757,366.62386267512,64.37713571010136,42.55617222497046,66.10448221338466,0.0273814137164242,0.018100341759946906,72.95,,0.4166150000002235,344,
26.776628330325707,1320,,0.08424413107310551,1.150783199789108,20.256606798092456,3.133275225562001,368.50881826728,63.4695242344139,42.090580775258715,66.31620653056152,0.02734063485447439,0.01813127187685992,72.95,,undefined,0,
32.55006833032565,1350,,0.07842216988276117,1.077409781988189,17.90526224693904,3.1321121152017217,352.9055747544,56.081288809501764,37.52381345735751,66.90968459162785,0.028712694225829942,0.019211573144261355,72.8375,,1.1690399999998045,-40,
