Time (s),ESC (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),4LHE Temp (ºF)
0,1200,0.053605959,0.813479932,22.02339526,1.776961058,293.4247538,39.13471115,21.32741988,54.49837318,0.038143015,0.020786924,72.275
30.76399162,1230,0.063533913,0.949106899,21.96967455,2.149888169,317.300858,47.23234097,27.33614924,57.8761571,0.034719908,0.020094487,72.3875
61.26970587,1260,0.074050177,1.092464586,21.90986521,2.573066888,342.0147202,56.37554119,34.33265973,60.9005903,0.031820313,0.01937849,72.5
91.79192512,1290,0.084768505,1.241382326,21.84039454,3.055899328,366.6238627,66.74204028,42.14193587,63.14143866,0.02945771,0.018599822,72.6125
122.2926334,1320,0.085159241,1.246557593,20.16935436,3.236021595,364.5294676,65.26846812,42.08337684,64.47743259,0.029621144,0.019098953,72.8375
152.7926846,1350,0.080904016,1.177017032,18.73666347,3.235293488,356.8849254,60.61859961,39.15000306,64.58419199,0.030064366,0.019416763,72.95
183.2942986,1380,0.081137289,1.183471348,18.76047916,3.236471028,357.932123,60.71775217,39.37069665,64.84219928,0.030059716,0.019491373,73.0625
213.7956271,1410,0.081747363,1.185266033,18.74503726,3.233107474,358.0368428,60.60471553,39.67881453,65.47171847,0.02987153,0.019557393,73.175
244.2970311,1440,0.081971478,1.189201605,18.77899158,3.232996906,357.6179637,60.71242285,39.74294889,65.46099383,0.029922319,0.019587458,73.175
274.7973436,1470,0.080493008,1.182739218,18.76685151,3.235161553,357.8274032,60.71378182,39.05611511,64.32826561,0.030283077,0.019480584,73.175
305.2979594,1500,0.080946412,1.196448449,18.714778,3.234466182,355.7330081,60.53231675,39.04465853,64.50228488,0.030643283,0.019765457,72.95
335.7992256,1500,0.081836459,1.190221358,18.7409548,3.239220875,356.4660464,60.70609442,39.55090588,65.15159348,0.030093425,0.01960633,72.8375
366.4122071,1470,0.080842284,1.193613659,18.72070309,3.235212534,355.7330081,60.56545367,38.99172586,64.37948336,0.030611944,0.019707825,72.725
396.9880041,1440,0.081662788,1.186155937,18.70303856,3.237803637,355.3141291,60.55676591,39.34278977,64.96844754,0.030149338,0.019587519,72.5
427.6156244,1410,0.08079359,1.19012873,18.74078447,3.235630178,356.6754859,60.63824965,39.06815943,64.42828641,0.030462882,0.019626722,72.3875
458.1351709,1380,0.08155818,1.189387555,18.7086033,3.235961527,355.8377279,60.54032543,39.35322064,65.00333906,0.030223397,0.019646212,72.275
488.7513769,1350,0.081004614,1.186570315,18.77641209,3.237657134,357.6179637,60.79158431,39.28124215,64.61621123,0.030207071,0.019518658,72.275
519.3585669,1320,0.085477997,1.245089442,20.18486956,3.237558539,365.3672256,65.34970087,42.33769108,64.78637289,0.029408556,0.019052712,72.1625
549.9132589,1290,0.085637151,1.254177112,21.84125447,3.055099638,365.6813849,66.72719862,42.46428517,63.63896706,0.029534907,0.018795726,72.1625
580.5148184,1260,0.076383399,1.10908516,21.90981773,2.577380691,340.5486437,56.4699253,35.2628504,62.44516954,0.031453357,0.019640704,72.05
611.1121974,1230,0.063997776,0.943278701,21.9696468,2.15592434,318.6622148,47.3648939,27.65152225,58.37976812,0.034113554,0.019915249,72.275
641.6805026,1200,0.055648566,0.815787651,22.02263443,1.78213051,292.2728365,39.24720724,22.05167389,56.18693249,0.036994673,0.020785961,72.275
