Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),4LHE Temp (ºF),App message,90% settling time (s),Max acceleration (RPM/s),
0,1050,,-0.004314662298295778,0.009194890319876753,25.319681041774384,0.04656342524881357,0,1.1789710755124636,0,0,0,0,80.15,79.3625,,undefined,0,
3.480120859763585,1145,,-0.0043713062126212255,0.010712812185478857,25.32028834242753,0.04880328501709885,0,1.2357132486906162,0,0,0,0,80.15,79.3625,,undefined,0,
9.725825859763194,1240,,0.03190421281430546,0.46036891171909916,25.248779240077305,0.9662865608110854,2261,24.39755605657263,10.2421874945405,41.98038307931784,0.04494829956632745,0.01886946834558362,80.15,79.475,,0.469464999999851,9324,
12.834430859763176,1335,,0.07251356911335947,1.0484970949799866,25.15555482923414,2.2815674808054958,3278,57.39409586000026,33.75362229905802,58.8102692329055,0.03106324665513744,0.01826837899036784,80.2625,79.025,,0.17466500000003726,6111,
15.58580585976364,1430,,0.1328187389925279,1.965850950208662,24.976058102565123,4.801083376757085,4393,119.91213737314452,82.83961096807066,69.08359135513449,0.02373080857376758,0.016394094820370814,80.15,78.8,,0.14928500000014902,8351,
18.484215859763324,1525,,0.19600725304458078,2.9257299807235815,24.725750311106772,8.268716237464982,5413,204.4502130809534,150.64956723233954,73.6852092067465,0.019420765917046213,0.014310231995528024,80.15,78.4625,,0.14768999999994412,6122,
20.509135859763717,1620,,0.2755483683940291,4.1127091673112925,24.369186220314994,13.74760471447979,6416,335.01793937043834,251.01594469420698,74.92612042385345,0.0163842546827911,0.012276086394178909,80.15,78.4625,,0.1748450000002049,5364,
22.631575859763196,1715,,0.35576892576112557,5.329225797964749,23.977203664757333,19.78864365640455,7239,474.4763391989201,365.658002150438,77.06559251569742,0.01457434478836378,0.011231805166433214,80.15,78.2375,,0.17562999999988824,4115,
24.684715859763322,1810,,0.4409420338095963,6.5434423405285465,23.49770544999985,27.63653194874607,8012,649.3950873911455,501.5804943710127,77.23811037530984,0.013045647536063167,0.010076211643078356,80.15,78.2375,,0.1930999999996275,3513,
26.75830085976329,1905,,0.52018788598139,7.7854214494894,22.99268375196418,36.19209200830422,8709,832.1533258689291,643.2332391477896,77.29744256878739,0.012103574528897468,0.0093557535702449,80.0375,78.125,,0.1995500000002794,3249,
28.830050859763286,2000,,0.5665989309820414,8.472931243046327,22.641075319145074,42.171116207739885,9100,954.7994183518583,732.040780156073,76.66958798735931,0.011574397865157014,0.008874043155233595,79.925,78.125,,0.14990999999968335,1734,
31.38153085976327,1905,,0.5083485538993243,7.615483096420994,22.995238963055513,35.412397990690884,8640,814.3165540507638,623.5702692287189,76.57590480345878,0.012212710374791325,0.00935199347052234,80.0375,78.125,,0.17482000000029801,-1723,
34.10601085976325,1810,,0.42456109074376147,6.402791255749465,23.477701622275443,26.685545316785355,7941,626.5152705751964,478.70827644572705,76.40807797170379,0.013375142170693957,0.010219689058610076,79.925,78.125,,0.1719400000004098,-2890,
36.28204085976351,1715,,0.35090094079772066,5.25908598301223,23.89506475705862,19.36832147049398,7153,462.8072957729825,356.3609996850759,76.99986645411032,0.01475774842830669,0.011363446581429716,79.925,78.125,,0.17486499999975785,-3187,
38.30769085976342,1620,,0.27242602397711757,4.093034814233998,24.23906526247849,13.533540916248109,6373,328.04038150136086,246.49582380731025,75.14191474816573,0.016604885028127653,0.012477228551866618,79.925,78.0125,,0.14322500000009314,-4031,
40.75608085976355,1525,,0.1904085489790529,2.833602731934331,24.583187671959287,8.062643304574474,5346,198.2054734884203,144.5343442196772,72.92146966270398,0.01960504783297421,0.014296289007880892,79.925,78.0125,,0.2240749999997206,-4513,
42.984425859763284,1430,,0.12822262475519935,1.8838141066613971,24.814358432105927,4.6267259714062146,4336,114.80923662160728,78.92969830045988,68.74856119860759,0.02386698729659811,0.016408210367865647,79.8125,78.0125,,0.2224199999999255,-3529,
50.78439585976349,1335,,0.07091928140356665,1.0509171575412306,25.017988246916662,2.2738995556738675,3264,56.888392358517834,32.8673540615646,57.77515007706736,0.03197449832964142,0.01847331439633973,79.8125,78.0125,,0.42635000000009315,-2347,
57.10933585976343,1240,,0.029876842054051698,0.45946215490457726,25.128699350794978,0.9696725864287111,2227,24.366610893074842,9.447013762594588,38.77032306236521,0.048635702926973154,0.018856219148439702,79.8125,78.125,,0.7960550000001676,-1787,
62.33266585976305,1145,,-0.0050097991460752766,0.017137771191866758,25.206153003681905,0.06865676517675312,0,1.7305729277830988,0,0,0,0,79.8125,78.2375,,3.200630000000354,-1617,
64.10654085976351,1050,,-0.0050993466375280384,0.017149786127143626,25.211949200474322,0.06797906941955661,0,1.7138848449013788,0,0,0,0,79.8125,78.35,,undefined,0,
